year_of_filing,state,sector,dispute_type,claim_amount_slab,claim_amount_numeric,respondent_type,delay_days,has_written_contract,has_purchase_order,has_delivery_challan,num_invoices_submitted,doc_completeness_score,claimant_udyam_age_months,prior_cases_filed,case_status,resolution_days
2025,Gujarat,IT & Software Services,Non-Payment,1-10 Lakh,500000,Govt Department,458,1,1,1,2,0.73,116,1,Mutually Settled,47.0
2020,Maharashtra,Pharma & Chemicals,Contract Breach,1-10 Lakh,500000,Private Large Corp,95,1,0,1,4,0.53,3,2,Mutually Settled,169.0
2023,Telangana,Pharma & Chemicals,Non-Payment,10-50 Lakh,3000000,Govt Department,406,1,1,1,1,0.69,52,0,Mutually Settled,21.0
2022,Himachal Pradesh,Food Processing,Contract Breach,1-10 Lakh,500000,Private Large Corp,559,0,1,1,5,0.67,69,0,Disposed - In Favour of Claimant,162.0
2023,Gujarat,Electrical & Electronics,Quality Dispute Leading to Non-Payment,Above 1 Crore,15000000,PSU,547,0,1,1,8,0.58,85,2,Disposed - In Favour of Claimant,189.0
2024,Gujarat,IT & Software Services,Partial Payment,Above 1 Crore,15000000,PSU,111,1,1,1,2,0.28,5,0,Disposed - In Favour of Claimant,139.0
2020,Kerala,Textile & Apparel,Payment After Due Date,10-50 Lakh,3000000,Private Large Corp,531,1,1,0,13,0.81,18,0,Mutually Settled,22.0
2023,Odisha,Textile & Apparel,Non-Payment,10-50 Lakh,3000000,PSU,728,0,1,0,1,1.0,38,0,Mutually Settled,90.0
2022,Uttar Pradesh,Food Processing,Non-Payment,Below 1 Lakh,50000,Private Large Corp,260,0,0,0,5,0.68,60,1,Disposed - In Favour of Claimant,447.0
2018,Maharashtra,Manufacturing,Non-Payment,1-10 Lakh,500000,Private SME,183,0,1,0,2,0.53,20,0,Converted to Case - Pending,
2021,Maharashtra,Engineering & Fabrication,Non-Payment,50 Lakh - 1 Crore,7500000,PSU,738,0,0,1,4,0.69,80,0,Mutually Settled,74.0
2024,Delhi,Construction,Partial Payment,10-50 Lakh,3000000,CPSE,768,1,1,1,14,0.88,96,0,Mutually Settled,18.0
2020,Uttar Pradesh,Engineering & Fabrication,Non-Payment,1-10 Lakh,500000,Private Large Corp,841,1,1,1,4,0.91,13,1,Mutually Settled,33.0
2022,Maharashtra,Pharma & Chemicals,Quality Dispute Leading to Non-Payment,10-50 Lakh,3000000,Private Large Corp,429,1,1,1,3,0.83,74,3,Mutually Settled,154.0
2022,Delhi,Auto Components,Non-Payment,Above 1 Crore,15000000,Private Large Corp,524,0,1,1,6,0.74,67,0,Mutually Settled,177.0
2022,Maharashtra,IT & Software Services,Partial Payment,1-10 Lakh,500000,Private Large Corp,47,0,1,1,2,0.79,77,1,Mutually Settled,154.0
2024,Madhya Pradesh,Pharma & Chemicals,Partial Payment,1-10 Lakh,500000,Private Large Corp,714,0,1,1,11,0.67,30,3,Mutually Settled,44.0
2019,Tamil Nadu,Manufacturing,Non-Payment,Above 1 Crore,15000000,Private Large Corp,865,0,1,0,13,0.46,100,0,Disposed - In Favour of Claimant,487.0
2022,Maharashtra,Engineering & Fabrication,Non-Payment,1-10 Lakh,500000,Private SME,554,0,1,0,11,0.57,99,0,Mutually Settled,64.0
2021,Delhi,Pharma & Chemicals,Non-Payment,1-10 Lakh,500000,PSU,187,1,1,1,1,0.59,107,0,Mutually Settled,172.0
2020,Uttar Pradesh,Construction,Payment After Due Date,1-10 Lakh,500000,PSU,73,1,0,1,1,0.71,69,0,Mutually Settled,151.0
2024,Himachal Pradesh,Textile & Apparel,Partial Payment,50 Lakh - 1 Crore,7500000,Private SME,302,0,1,1,12,0.3,106,1,Disposed - Dismissed,155.0
2017,Karnataka,Electrical & Electronics,Non-Payment,50 Lakh - 1 Crore,7500000,Private Large Corp,857,0,1,0,7,0.75,20,0,Mutually Settled,172.0
2019,Tamil Nadu,Printing & Packaging,Payment After Due Date,1-10 Lakh,500000,Private SME,805,0,0,0,11,0.25,13,0,Rejected,43.0
2023,Haryana,Pharma & Chemicals,Non-Payment,Below 1 Lakh,50000,PSU,893,1,1,1,10,0.73,23,0,Mutually Settled,132.0
2020,Tamil Nadu,Manufacturing,Partial Payment,1-10 Lakh,500000,Private Large Corp,130,1,1,1,12,0.88,51,2,Mutually Settled,146.0
2023,Bihar,IT & Software Services,Non-Payment,1-10 Lakh,500000,Private SME,288,1,0,1,5,0.83,43,0,Mutually Settled,176.0
2024,Uttar Pradesh,Auto Components,Payment After Due Date,Below 1 Lakh,50000,PSU,251,1,1,1,14,0.47,115,0,Mutually Settled,101.0
2020,Karnataka,Construction,Quality Dispute Leading to Non-Payment,1-10 Lakh,500000,Govt Department,830,0,1,1,5,0.77,11,1,Mutually Settled,79.0
2019,Maharashtra,Food Processing,Payment After Due Date,Below 1 Lakh,50000,Private SME,483,0,1,1,12,0.79,118,2,Mutually Settled,31.0
2019,Uttar Pradesh,Manufacturing,Non-Payment,Above 1 Crore,15000000,Private SME,316,0,1,1,9,0.99,90,0,Mutually Settled,65.0
2020,Telangana,Engineering & Fabrication,Non-Payment,Below 1 Lakh,50000,Private SME,605,0,1,0,7,0.72,72,1,Disposed - In Favour of Claimant,349.0
2020,Madhya Pradesh,Electrical & Electronics,Payment After Due Date,1-10 Lakh,500000,PSU,524,1,1,1,9,0.86,31,0,Mutually Settled,131.0
2024,Gujarat,Engineering & Fabrication,Partial Payment,1-10 Lakh,500000,Govt Department,603,0,0,0,5,0.56,96,1,Disposed - In Favour of Claimant,331.0
2023,Gujarat,Textile & Apparel,Non-Payment,10-50 Lakh,3000000,Private Large Corp,222,1,0,1,9,0.48,76,1,Converted to Case - Pending,
2017,Telangana,Electrical & Electronics,Payment After Due Date,Below 1 Lakh,50000,Private SME,465,1,1,1,13,0.82,74,0,Mutually Settled,152.0
2024,Odisha,Engineering & Fabrication,Non-Payment,10-50 Lakh,3000000,Private Large Corp,827,1,1,1,6,0.83,21,1,Mutually Settled,33.0
2018,Maharashtra,IT & Software Services,Non-Payment,10-50 Lakh,3000000,PSU,785,0,1,1,1,0.52,34,0,Disposed - In Favour of Claimant,410.0
2023,Rajasthan,Engineering & Fabrication,Quality Dispute Leading to Non-Payment,Above 1 Crore,15000000,Private SME,520,1,1,1,8,0.41,117,0,Disposed - In Favour of Claimant,378.0
2019,Tamil Nadu,Construction,Partial Payment,10-50 Lakh,3000000,Private SME,432,1,1,1,8,0.67,81,0,Mutually Settled,125.0
2018,Kerala,Construction,Non-Payment,Below 1 Lakh,50000,CPSE,299,1,1,1,14,0.66,93,2,Mutually Settled,161.0
2023,Maharashtra,Printing & Packaging,Payment After Due Date,Below 1 Lakh,50000,Private Large Corp,291,1,1,1,7,0.7,2,0,Mutually Settled,159.0
2022,Gujarat,Engineering & Fabrication,Quality Dispute Leading to Non-Payment,10-50 Lakh,3000000,Private Large Corp,435,0,1,1,5,0.83,19,2,Mutually Settled,175.0
2022,West Bengal,IT & Software Services,Non-Payment,1-10 Lakh,500000,CPSE,427,1,1,1,13,0.86,26,0,Mutually Settled,89.0
2021,Maharashtra,IT & Software Services,Partial Payment,1-10 Lakh,500000,PSU,520,0,1,0,6,0.65,105,0,Mutually Settled,133.0
2018,Rajasthan,Pharma & Chemicals,Payment After Due Date,Above 1 Crore,15000000,Private SME,579,1,1,1,5,0.45,76,0,Disposed - In Favour of Claimant,358.0
2023,Rajasthan,Auto Components,Non-Payment,50 Lakh - 1 Crore,7500000,Govt Department,579,1,1,0,1,0.5,95,0,Disposed - In Favour of Claimant,267.0
2024,Tamil Nadu,Electrical & Electronics,Partial Payment,50 Lakh - 1 Crore,7500000,Private SME,781,0,1,1,2,0.53,54,3,Converted to Case - Pending,
2018,Uttar Pradesh,Manufacturing,Non-Payment,50 Lakh - 1 Crore,7500000,Govt Department,392,1,1,1,13,0.63,32,0,Mutually Settled,115.0
2021,Karnataka,Food Processing,Payment After Due Date,10-50 Lakh,3000000,Private SME,244,1,1,1,6,0.55,94,0,Mutually Settled,59.0
2022,Gujarat,Electrical & Electronics,Payment After Due Date,10-50 Lakh,3000000,Private Large Corp,276,0,1,1,7,0.6,103,0,Mutually Settled,152.0
2022,Delhi,Electrical & Electronics,Non-Payment,1-10 Lakh,500000,CPSE,479,1,1,1,1,0.66,17,0,Mutually Settled,137.0
2022,Madhya Pradesh,Textile & Apparel,Payment After Due Date,Above 1 Crore,15000000,Private Large Corp,377,1,1,0,10,0.52,100,0,Mutually Settled,152.0
2023,West Bengal,Electrical & Electronics,Payment After Due Date,1-10 Lakh,500000,Private Large Corp,381,1,1,1,8,0.71,7,0,Mutually Settled,156.0
2025,Gujarat,Textile & Apparel,Non-Payment,10-50 Lakh,3000000,PSU,275,1,0,0,6,1.0,109,1,Mutually Settled,145.0
2021,Gujarat,Pharma & Chemicals,Partial Payment,1-10 Lakh,500000,Govt Department,754,1,1,1,5,0.62,117,0,Mutually Settled,84.0
2022,Tamil Nadu,Auto Components,Non-Payment,Below 1 Lakh,50000,Govt Department,279,0,1,0,10,0.51,99,0,Mutually Settled,41.0
2023,Uttar Pradesh,IT & Software Services,Quality Dispute Leading to Non-Payment,10-50 Lakh,3000000,Private Large Corp,414,1,1,0,3,0.71,17,0,Disposed - In Favour of Claimant,216.0
2022,Uttar Pradesh,Printing & Packaging,Partial Payment,1-10 Lakh,500000,Private SME,848,1,1,1,5,0.49,89,1,Disposed - In Favour of Claimant,244.0
2021,Haryana,IT & Software Services,Partial Payment,10-50 Lakh,3000000,Private SME,822,0,1,1,5,0.62,102,2,Mutually Settled,94.0
2023,Maharashtra,Engineering & Fabrication,Partial Payment,10-50 Lakh,3000000,Govt Department,202,1,1,1,9,0.51,21,0,Mutually Settled,71.0
2023,Maharashtra,Food Processing,Partial Payment,10-50 Lakh,3000000,Private Large Corp,584,1,1,1,11,0.44,3,0,Disposed - In Favour of Claimant,378.0
2022,Uttar Pradesh,Auto Components,Quality Dispute Leading to Non-Payment,Below 1 Lakh,50000,Govt Department,781,1,1,0,9,0.47,112,0,Disposed - In Favour of Claimant,457.0
2020,Haryana,Auto Components,Partial Payment,1-10 Lakh,500000,Private SME,247,1,1,0,8,0.52,61,1,Mutually Settled,58.0
2022,Gujarat,Pharma & Chemicals,Quality Dispute Leading to Non-Payment,50 Lakh - 1 Crore,7500000,CPSE,134,1,0,0,12,0.44,51,2,Disposed - In Favour of Claimant,445.0
2024,Punjab,Food Processing,Partial Payment,1-10 Lakh,500000,Private Large Corp,360,1,1,1,7,0.91,61,0,Mutually Settled,67.0
2024,Tamil Nadu,Engineering & Fabrication,Non-Payment,1-10 Lakh,500000,Private Large Corp,215,1,1,1,14,0.74,2,0,Mutually Settled,30.0
2023,Kerala,Engineering & Fabrication,Quality Dispute Leading to Non-Payment,1-10 Lakh,500000,Private Large Corp,482,0,1,1,11,0.84,103,0,Mutually Settled,167.0
2023,Bihar,Printing & Packaging,Partial Payment,50 Lakh - 1 Crore,7500000,PSU,339,1,1,1,14,0.38,110,0,Mutually Settled,96.0
2019,Tamil Nadu,Manufacturing,Partial Payment,10-50 Lakh,3000000,PSU,390,0,1,1,13,0.59,36,1,Disposed - In Favour of Claimant,229.0
2021,Gujarat,IT & Software Services,Contract Breach,Below 1 Lakh,50000,PSU,408,0,1,0,14,0.73,68,0,Mutually Settled,118.0
2019,Uttar Pradesh,Electrical & Electronics,Non-Payment,50 Lakh - 1 Crore,7500000,Govt Department,225,1,1,1,7,0.98,8,3,Mutually Settled,94.0
2024,Gujarat,Food Processing,Non-Payment,50 Lakh - 1 Crore,7500000,Private Large Corp,553,1,1,0,6,0.5,77,0,Disposed - In Favour of Claimant,106.0
2020,Punjab,Engineering & Fabrication,Non-Payment,10-50 Lakh,3000000,Private Large Corp,534,0,1,1,13,0.39,90,1,Disposed - In Favour of Claimant,379.0
2023,Telangana,Engineering & Fabrication,Partial Payment,1-10 Lakh,500000,Private Large Corp,345,1,1,1,14,0.69,14,0,Mutually Settled,84.0
2024,Haryana,Manufacturing,Payment After Due Date,10-50 Lakh,3000000,Private Large Corp,580,0,0,1,5,0.52,51,0,Disposed - In Favour of Claimant,124.0
2024,Telangana,Auto Components,Contract Breach,1-10 Lakh,500000,Private SME,759,1,1,1,3,0.99,41,0,Mutually Settled,131.0
2023,Uttar Pradesh,Engineering & Fabrication,Partial Payment,10-50 Lakh,3000000,Private Large Corp,371,1,1,1,13,0.76,7,0,Mutually Settled,52.0
2022,Gujarat,Printing & Packaging,Payment After Due Date,50 Lakh - 1 Crore,7500000,Govt Department,122,1,1,1,14,0.59,79,0,Mutually Settled,118.0
2022,West Bengal,Engineering & Fabrication,Quality Dispute Leading to Non-Payment,50 Lakh - 1 Crore,7500000,Private Large Corp,268,1,1,1,14,0.59,40,3,Mutually Settled,42.0
2021,Uttar Pradesh,Engineering & Fabrication,Partial Payment,1-10 Lakh,500000,Govt Department,882,1,1,1,4,0.62,5,0,Mutually Settled,85.0
2019,Punjab,Manufacturing,Non-Payment,50 Lakh - 1 Crore,7500000,PSU,233,1,1,0,6,0.29,113,0,Converted to Case - Pending,
2019,Tamil Nadu,Printing & Packaging,Partial Payment,Below 1 Lakh,50000,Private Large Corp,808,1,1,0,7,0.66,92,2,Mutually Settled,25.0
2019,Maharashtra,Construction,Contract Breach,Below 1 Lakh,50000,Govt Department,688,1,1,1,2,0.55,78,0,Mutually Settled,81.0
2025,Goa,Textile & Apparel,Contract Breach,10-50 Lakh,3000000,Private Large Corp,523,1,1,1,3,0.78,13,2,Mutually Settled,31.0
2019,Gujarat,Manufacturing,Partial Payment,10-50 Lakh,3000000,PSU,68,1,0,1,7,0.47,61,1,Mutually Settled,142.0
2023,Himachal Pradesh,Auto Components,Quality Dispute Leading to Non-Payment,1-10 Lakh,500000,Govt Department,82,1,1,1,10,0.79,112,0,Mutually Settled,149.0
2019,Himachal Pradesh,Auto Components,Non-Payment,1-10 Lakh,500000,PSU,63,1,0,0,7,0.76,118,0,Mutually Settled,158.0
2025,Madhya Pradesh,Food Processing,Non-Payment,Below 1 Lakh,50000,Govt Department,818,0,1,0,8,0.68,60,0,Mutually Settled,19.0
2021,Punjab,Manufacturing,Contract Breach,10-50 Lakh,3000000,Private Large Corp,598,1,1,0,9,0.9,24,0,Mutually Settled,20.0
2021,Delhi,Pharma & Chemicals,Non-Payment,50 Lakh - 1 Crore,7500000,Private Large Corp,383,0,1,1,9,0.27,90,0,Converted to Case - Pending,
2021,Kerala,Manufacturing,Non-Payment,10-50 Lakh,3000000,Private Large Corp,117,1,1,1,11,0.74,69,0,Mutually Settled,27.0
2024,Tamil Nadu,Construction,Non-Payment,1-10 Lakh,500000,Private Large Corp,697,0,1,1,13,0.64,104,0,Mutually Settled,37.0
2020,Rajasthan,Engineering & Fabrication,Partial Payment,Above 1 Crore,15000000,PSU,771,1,0,0,1,0.64,50,0,Mutually Settled,170.0
2024,Delhi,Manufacturing,Partial Payment,10-50 Lakh,3000000,PSU,563,1,1,0,1,0.45,27,1,Mutually Settled,150.0
2023,Uttar Pradesh,Pharma & Chemicals,Non-Payment,50 Lakh - 1 Crore,7500000,Private SME,490,1,1,0,6,0.37,112,0,Mutually Settled,28.0
2020,Uttar Pradesh,Electrical & Electronics,Quality Dispute Leading to Non-Payment,10-50 Lakh,3000000,Private SME,523,1,1,1,12,0.83,72,0,Mutually Settled,18.0
2018,Tamil Nadu,Pharma & Chemicals,Quality Dispute Leading to Non-Payment,Above 1 Crore,15000000,Govt Department,501,0,1,0,1,0.81,103,3,Mutually Settled,18.0
2023,Karnataka,Auto Components,Non-Payment,50 Lakh - 1 Crore,7500000,PSU,164,1,0,0,9,1.0,87,0,Mutually Settled,40.0
2020,Andhra Pradesh,Construction,Non-Payment,1-10 Lakh,500000,Private Large Corp,493,1,1,0,1,1.0,106,1,Mutually Settled,49.0
2024,Gujarat,Engineering & Fabrication,Payment After Due Date,1-10 Lakh,500000,PSU,412,1,1,1,5,0.34,25,0,Mutually Settled,141.0
2019,Jharkhand,Pharma & Chemicals,Partial Payment,10-50 Lakh,3000000,Private Large Corp,413,1,1,0,1,0.62,74,0,Mutually Settled,21.0
2022,Haryana,Construction,Non-Payment,10-50 Lakh,3000000,Govt Department,522,1,1,0,11,0.7,14,1,Converted to Case - Pending,
2023,Telangana,Electrical & Electronics,Non-Payment,10-50 Lakh,3000000,Private SME,626,0,1,0,14,0.84,105,2,Mutually Settled,57.0
2023,Karnataka,Printing & Packaging,Non-Payment,1-10 Lakh,500000,PSU,122,1,1,0,5,0.94,66,0,Mutually Settled,118.0
2020,Madhya Pradesh,Printing & Packaging,Non-Payment,1-10 Lakh,500000,Private Large Corp,321,1,1,1,4,0.44,115,0,Mutually Settled,179.0
2024,Maharashtra,Printing & Packaging,Partial Payment,10-50 Lakh,3000000,CPSE,137,1,0,1,6,0.54,35,1,Mutually Settled,25.0
2023,Telangana,Electrical & Electronics,Partial Payment,50 Lakh - 1 Crore,7500000,Private Large Corp,710,1,1,1,8,0.92,41,0,Mutually Settled,37.0
2022,Maharashtra,Engineering & Fabrication,Payment After Due Date,10-50 Lakh,3000000,CPSE,413,1,1,1,9,0.32,74,0,Mutually Settled,43.0
2022,Kerala,Textile & Apparel,Payment After Due Date,Below 1 Lakh,50000,Private SME,575,1,1,0,5,0.43,31,3,Disposed - In Favour of Claimant,239.0
2022,Goa,Textile & Apparel,Non-Payment,1-10 Lakh,500000,PSU,538,0,1,1,8,0.74,107,1,Mutually Settled,140.0
2025,Tamil Nadu,Construction,Payment After Due Date,Below 1 Lakh,50000,Private Large Corp,525,0,1,1,6,1.0,52,2,Mutually Settled,127.0
2024,Gujarat,Printing & Packaging,Non-Payment,Below 1 Lakh,50000,CPSE,368,1,1,0,8,0.31,43,0,Disposed - In Favour of Claimant,342.0
2020,West Bengal,Auto Components,Partial Payment,1-10 Lakh,500000,Govt Department,592,1,1,1,5,0.66,21,0,Mutually Settled,91.0
2020,Tamil Nadu,Engineering & Fabrication,Payment After Due Date,10-50 Lakh,3000000,Private Large Corp,147,1,1,1,8,0.76,27,3,Disposed - In Favour of Claimant,496.0
2025,Kerala,Textile & Apparel,Partial Payment,50 Lakh - 1 Crore,7500000,PSU,316,0,1,1,6,0.94,108,0,Mutually Settled,140.0
2020,Maharashtra,Manufacturing,Partial Payment,1-10 Lakh,500000,Govt Department,352,1,1,1,14,0.74,46,0,Mutually Settled,18.0
2025,Maharashtra,Food Processing,Partial Payment,10-50 Lakh,3000000,Private Large Corp,432,1,0,1,9,0.28,30,1,Disposed - In Favour of Claimant,663.0
2023,Himachal Pradesh,IT & Software Services,Quality Dispute Leading to Non-Payment,10-50 Lakh,3000000,Private Large Corp,322,1,1,0,4,0.39,46,0,Converted to Case - Pending,
2018,Haryana,Electrical & Electronics,Partial Payment,Above 1 Crore,15000000,Private Large Corp,304,1,1,1,1,0.92,43,0,Mutually Settled,47.0
2021,Andhra Pradesh,Electrical & Electronics,Payment After Due Date,50 Lakh - 1 Crore,7500000,Private Large Corp,592,1,0,1,1,0.74,61,2,Disposed - In Favour of Claimant,424.0
2022,Tamil Nadu,Textile & Apparel,Contract Breach,Below 1 Lakh,50000,Private Large Corp,565,1,1,0,3,0.42,2,2,Mutually Settled,105.0
2024,Haryana,Electrical & Electronics,Payment After Due Date,1-10 Lakh,500000,Private Large Corp,477,1,0,1,5,0.75,13,1,Mutually Settled,76.0
2021,Delhi,Printing & Packaging,Partial Payment,Below 1 Lakh,50000,Private Large Corp,816,1,1,1,10,0.71,55,0,Mutually Settled,52.0
2020,Delhi,IT & Software Services,Non-Payment,10-50 Lakh,3000000,Private Large Corp,355,1,1,0,4,0.15,33,0,Converted to Case - Pending,
2025,Haryana,Auto Components,Non-Payment,10-50 Lakh,3000000,CPSE,504,1,1,1,12,0.23,35,0,Mutually Settled,26.0
2018,Delhi,Manufacturing,Partial Payment,1-10 Lakh,500000,PSU,431,1,1,1,13,0.71,5,0,Mutually Settled,124.0
2022,Uttar Pradesh,Construction,Payment After Due Date,50 Lakh - 1 Crore,7500000,PSU,245,0,1,1,10,1.0,57,0,Mutually Settled,90.0
2022,Tamil Nadu,IT & Software Services,Non-Payment,1-10 Lakh,500000,PSU,697,1,0,1,10,0.7,95,2,Mutually Settled,23.0
2018,West Bengal,Auto Components,Contract Breach,Above 1 Crore,15000000,Private Large Corp,576,1,0,1,8,0.16,48,0,Disposed - In Favour of Claimant,244.0
2018,Gujarat,Electrical & Electronics,Non-Payment,Below 1 Lakh,50000,Private SME,447,1,1,0,8,0.33,37,0,Mutually Settled,97.0
2021,Haryana,Textile & Apparel,Payment After Due Date,Below 1 Lakh,50000,PSU,130,0,1,1,2,0.78,86,1,Mutually Settled,20.0
2019,Gujarat,Pharma & Chemicals,Non-Payment,1-10 Lakh,500000,PSU,67,0,1,1,5,0.8,104,1,Mutually Settled,106.0
2022,Punjab,Construction,Partial Payment,Below 1 Lakh,50000,CPSE,280,1,1,0,6,0.61,101,0,Disposed - In Favour of Claimant,314.0
2022,West Bengal,Engineering & Fabrication,Payment After Due Date,10-50 Lakh,3000000,Govt Department,843,0,1,1,9,0.55,87,0,Mutually Settled,100.0
2023,Gujarat,Food Processing,Non-Payment,Below 1 Lakh,50000,Private Large Corp,895,1,1,1,14,0.81,41,0,Mutually Settled,110.0
2022,Maharashtra,Textile & Apparel,Non-Payment,10-50 Lakh,3000000,CPSE,435,1,1,1,12,0.87,32,0,Mutually Settled,110.0
2021,Maharashtra,Electrical & Electronics,Partial Payment,Below 1 Lakh,50000,Private SME,174,0,1,1,2,0.79,70,0,Disposed - In Favour of Claimant,249.0
2019,Delhi,Textile & Apparel,Partial Payment,1-10 Lakh,500000,CPSE,438,0,0,1,14,0.46,92,1,Converted to Case - Pending,
2020,Andhra Pradesh,Printing & Packaging,Payment After Due Date,50 Lakh - 1 Crore,7500000,Private Large Corp,609,1,1,1,9,0.83,16,0,Mutually Settled,99.0
2021,Maharashtra,Electrical & Electronics,Contract Breach,Above 1 Crore,15000000,CPSE,509,0,1,0,4,0.58,4,0,Mutually Settled,94.0
2025,West Bengal,Textile & Apparel,Non-Payment,1-10 Lakh,500000,PSU,586,1,0,0,12,0.53,45,1,Disposed - In Favour of Claimant,104.0
2020,Tamil Nadu,IT & Software Services,Partial Payment,Above 1 Crore,15000000,Govt Department,875,1,1,1,7,0.52,9,2,Disposed - In Favour of Claimant,432.0
2021,Rajasthan,IT & Software Services,Partial Payment,10-50 Lakh,3000000,Private Large Corp,74,1,1,0,11,0.65,93,2,Disposed - In Favour of Claimant,379.0
2023,Odisha,Manufacturing,Contract Breach,1-10 Lakh,500000,Private Large Corp,178,1,0,0,10,0.76,99,0,Mutually Settled,22.0
2023,Tamil Nadu,Manufacturing,Quality Dispute Leading to Non-Payment,10-50 Lakh,3000000,Private Large Corp,768,0,1,0,8,0.25,51,0,Rejected,56.0
2025,Rajasthan,Construction,Payment After Due Date,1-10 Lakh,500000,PSU,579,1,1,0,13,0.5,27,1,Mutually Settled,75.0
2019,Maharashtra,Textile & Apparel,Partial Payment,1-10 Lakh,500000,Private Large Corp,734,1,1,0,9,0.56,44,0,Mutually Settled,146.0
2017,Maharashtra,Manufacturing,Non-Payment,10-50 Lakh,3000000,Private Large Corp,676,1,1,1,2,0.86,111,1,Mutually Settled,128.0
2021,Tamil Nadu,Printing & Packaging,Non-Payment,1-10 Lakh,500000,CPSE,693,1,1,0,7,0.48,10,0,Mutually Settled,57.0
2019,Maharashtra,Auto Components,Partial Payment,Below 1 Lakh,50000,Govt Department,127,1,1,1,5,0.58,112,0,Disposed - In Favour of Claimant,486.0
2022,Punjab,Manufacturing,Payment After Due Date,Below 1 Lakh,50000,PSU,625,1,1,1,1,0.81,64,0,Mutually Settled,76.0
2024,Uttar Pradesh,Textile & Apparel,Partial Payment,10-50 Lakh,3000000,Govt Department,597,0,1,1,1,0.66,45,0,Disposed - In Favour of Claimant,192.0
2023,Karnataka,IT & Software Services,Payment After Due Date,10-50 Lakh,3000000,Govt Department,136,0,1,0,8,0.96,18,2,Mutually Settled,37.0
2019,Gujarat,Food Processing,Non-Payment,1-10 Lakh,500000,Private Large Corp,709,1,1,1,5,0.62,75,1,Converted to Case - Pending,
2019,Tamil Nadu,Pharma & Chemicals,Payment After Due Date,50 Lakh - 1 Crore,7500000,Govt Department,779,1,1,1,13,1.0,70,0,Mutually Settled,116.0
2024,Punjab,Engineering & Fabrication,Non-Payment,1-10 Lakh,500000,Govt Department,121,0,1,1,10,1.0,91,0,Mutually Settled,31.0
2022,Uttarakhand,Manufacturing,Non-Payment,10-50 Lakh,3000000,Private Large Corp,280,1,0,1,12,0.74,93,3,Disposed - In Favour of Claimant,181.0
2025,Maharashtra,Engineering & Fabrication,Non-Payment,50 Lakh - 1 Crore,7500000,Private Large Corp,698,1,1,1,9,0.73,107,1,Mutually Settled,160.0
2023,Kerala,Pharma & Chemicals,Quality Dispute Leading to Non-Payment,50 Lakh - 1 Crore,7500000,Private Large Corp,533,0,1,1,12,0.76,18,0,Disposed - In Favour of Claimant,368.0
2025,Delhi,Construction,Non-Payment,1-10 Lakh,500000,Govt Department,479,1,0,0,2,0.81,75,0,Mutually Settled,118.0
2024,Karnataka,IT & Software Services,Payment After Due Date,10-50 Lakh,3000000,Private Large Corp,474,0,1,1,4,0.67,66,1,Mutually Settled,73.0
2021,Karnataka,IT & Software Services,Non-Payment,1-10 Lakh,500000,Govt Department,135,1,1,1,14,0.88,51,0,Mutually Settled,22.0
2023,Maharashtra,Pharma & Chemicals,Partial Payment,10-50 Lakh,3000000,Private Large Corp,492,0,1,0,10,0.75,99,1,Converted to Case - Pending,
2022,Maharashtra,Textile & Apparel,Quality Dispute Leading to Non-Payment,1-10 Lakh,500000,Govt Department,622,1,1,0,6,0.93,82,0,Mutually Settled,61.0
2020,Delhi,Engineering & Fabrication,Partial Payment,1-10 Lakh,500000,CPSE,200,1,1,1,6,0.36,47,0,Mutually Settled,46.0
2020,Tamil Nadu,Engineering & Fabrication,Non-Payment,1-10 Lakh,500000,Private SME,772,0,1,1,6,0.69,15,0,Mutually Settled,47.0
2021,Odisha,Pharma & Chemicals,Non-Payment,Below 1 Lakh,50000,Govt Department,492,1,0,0,5,0.85,2,3,Mutually Settled,104.0
2019,Uttar Pradesh,Engineering & Fabrication,Quality Dispute Leading to Non-Payment,10-50 Lakh,3000000,Private Large Corp,184,0,1,1,7,0.42,118,2,Disposed - In Favour of Claimant,241.0
2019,Gujarat,Textile & Apparel,Non-Payment,50 Lakh - 1 Crore,7500000,Govt Department,276,0,1,1,11,0.74,8,0,Mutually Settled,140.0
2022,Haryana,IT & Software Services,Partial Payment,Below 1 Lakh,50000,Govt Department,87,1,1,0,7,0.77,15,2,Mutually Settled,127.0
2025,Tamil Nadu,Construction,Partial Payment,1-10 Lakh,500000,Private SME,281,1,1,1,5,1.0,106,1,Mutually Settled,156.0
2022,Karnataka,Printing & Packaging,Non-Payment,1-10 Lakh,500000,Private SME,514,1,1,0,10,0.58,94,1,Mutually Settled,29.0
2021,Haryana,IT & Software Services,Non-Payment,10-50 Lakh,3000000,Private Large Corp,643,1,1,0,3,0.69,74,1,Mutually Settled,117.0
2020,Bihar,Auto Components,Partial Payment,1-10 Lakh,500000,Govt Department,393,0,1,1,9,0.54,116,3,Mutually Settled,138.0
2019,Madhya Pradesh,Auto Components,Payment After Due Date,Below 1 Lakh,50000,Private Large Corp,723,0,1,0,7,0.62,20,0,Disposed - In Favour of Claimant,635.0
2023,Haryana,IT & Software Services,Non-Payment,1-10 Lakh,500000,Private Large Corp,243,1,1,1,2,0.97,91,1,Mutually Settled,160.0
2024,Haryana,Textile & Apparel,Payment After Due Date,50 Lakh - 1 Crore,7500000,PSU,390,1,1,0,3,0.64,6,2,Disposed - In Favour of Claimant,677.0
